user,movie,rating
595,1735,3.0
534,2940,4.0
1024,664,2.0
1076,703,3.5
35,914,4.5
389,2360,4.0
67,772,5.0
11,927,4.0
84,2926,3.0
11,1339,4.0
189,830,3.0
226,2037,3.5
718,321,3.0
864,2948,2.5
574,1447,2.5
644,1760,5.0
393,2413,3.0
90,2299,5.0
159,1569,2.5
1021,2996,2.0
595,2072,2.0
756,143,5.0
67,2110,4.0
216,2602,4.0
921,2659,3.5
286,1395,3.0
533,2514,3.5
551,2509,3.0
219,2127,4.0
728,200,1.5
718,372,0.5
575,2772,2.5
76,2284,1.0
187,1270,5.0
392,1540,3.5
424,416,2.5
95,612,4.0
250,466,3.5
319,2372,5.0
134,1299,4.0
41,407,5.0
250,2060,4.0
214,1784,3.0
595,2338,3.0
847,1787,2.0
995,422,2.0
145,1152,0.5
301,1603,3.5
174,2361,2.0
663,1174,2.5
106,2200,2.5
197,1206,4.0
1016,2867,3.0
305,2056,3.5
476,1520,3.5
705,463,3.0
754,397,2.0
595,1384,3.0
389,1060,4.0
595,2749,2.5
47,275,4.0
197,1820,1.0
44,1748,4.0
250,54,3.0
13,1074,4.0
882,455,4.0
732,1108,3.5
22,1560,2.0
1057,716,3.0
922,220,2.0
488,2088,1.5
334,2956,5.0
10,578,3.5
415,987,3.0
398,2643,3.0
11,2024,5.0
392,2162,3.0
215,110,4.0
490,2434,3.5
22,1537,4.0
127,2358,3.0
946,1199,5.0
18,972,4.0
864,651,3.0
180,2795,3.5
398,1228,3.5
669,1661,3.5
595,1526,2.0
426,1438,0.5
595,1921,3.0
819,107,4.0
226,1768,2.5
486,2536,3.0
22,929,3.0
269,2043,3.0
533,1410,4.5
922,2995,3.5
95,900,2.0
1080,197,3.0
233,565,4.0
347,628,4.5
742,216,4.0
257,1563,3.5
819,356,3.0
491,2968,4.0
875,500,2.5
758,129,0.5
6,1600,2.5
509,2379,3.0
22,776,4.0
106,2131,2.5
669,2125,3.5
531,2676,3.5
13,816,0.5
777,1198,3.0
595,1471,2.5
11,975,4.0
899,613,4.5
75,2491,3.0
864,138,3.5
898,528,1.5
852,388,2.0
152,909,2.0
909,234,0.5
106,2942,2.5
445,2511,3.0
669,2724,2.0
3,1178,4.0
533,1038,4.0
18,1811,4.0
735,2603,2.5
295,814,1.5
509,1477,3.5
595,1853,3.0
837,1955,4.0
595,2180,3.5
595,2266,4.0
563,2440,2.5
595,1553,3.5
808,2481,2.5
595,1393,2.5
14,1394,3.5
46,709,0.5
627,2476,2.0
117,873,2.0
80,865,2.0
380,1999,5.0
106,2078,3.0
106,2497,3.0
197,2111,1.0
407,2744,4.5
875,723,3.5
114,1868,2.0
846,2667,3.5
595,1111,2.0
1077,560,2.5
270,1312,4.0
922,370,2.0
283,2087,5.0
335,1233,2.5
335,2769,0.5
329,1756,3.0
490,2596,3.5
134,2912,3.5
11,1294,5.0
575,2725,0.5
139,1739,2.5
23,836,2.0
180,586,2.0
189,1515,3.0
226,2563,4.5
899,605,5.0
595,2597,3.0
106,1372,3.5
174,1927,1.0
1038,557,0.5
649,2571,4.0
93,2411,4.5
811,102,2.5
10,1964,4.0
753,2415,2.5
595,1,3.0
248,1850,3.5
879,444,0.5
126,1950,4.5
22,864,2.0
819,1475,3.0
946,1613,4.0
39,1781,4.0
331,1426,2.5
973,687,3.5
595,1026,3.0
1025,704,4.0
134,897,3.0
486,1406,4.0
80,844,3.0
647,2690,0.5
392,361,3.0
587,1840,0.5
197,2007,4.0
95,2705,3.0
212,2505,4.0
331,2805,3.0
712,233,4.0
78,1692,3.0
594,1050,4.0
21,1310,3.0
586,2971,2.0
264,1854,5.0
242,1783,3.0
709,2720,4.0
40,994,5.0
767,1190,3.5
334,943,3.0
490,409,2.5
590,607,4.0
226,1776,3.0
805,2378,3.5
805,1839,2.0
7,1782,2.0
864,477,3.0
595,1780,3.0
398,1057,4.0
303,1459,3.0
226,18,4.0
296,1327,4.0
458,2459,3.5
36,2301,2.5
679,680,2.5
13,833,4.0
229,1497,4.0
533,1894,5.0
389,2018,4.0
71,1262,4.0
804,2796,4.0
632,2449,2.0
37,849,4.0
181,1403,3.5
135,1150,3.0
189,2619,4.0
48,2233,1.5
540,1545,3.5
829,210,3.5
911,2510,3.0
289,1080,1.5
864,621,3.5
144,2965,5.0
479,2176,4.0
595,1647,3.0
864,701,3.0
595,1382,3.5
11,1922,5.0
919,302,2.5
486,2014,4.0
533,1120,5.0
72,813,2.0
106,2108,2.5
333,1584,3.0
465,2777,4.0
509,2799,3.0
897,2539,4.0
568,954,3.0
1048,654,4.0
864,344,3.5
531,207,3.0
708,2927,4.0
508,2496,2.0
540,1043,3.5
76,1796,4.0
36,920,3.0
234,1533,4.0
268,1398,1.5
830,1641,4.0
1051,531,3.0
36,874,2.0
533,2788,4.5
344,1874,3.0
454,2179,4.0
804,147,3.0
106,2562,2.5
63,1558,5.0
285,1290,4.0
36,2105,3.0
595,2652,3.5
864,286,2.5
94,2229,4.0
595,1795,3.5
476,1453,4.0
635,523,2.5
880,468,3.0
864,2715,3.0
898,527,3.0
256,1089,0.5
490,591,3.5
1064,474,4.0
1062,472,3.5
90,1300,5.0
405,2377,4.0
540,1548,3.0
389,1077,3.5
13,2161,4.0
864,596,2.5
336,239,4.0
22,858,3.0
864,122,3.5
691,794,2.0
893,2353,1.5
668,52,3.0
226,2003,3.5
208,1901,4.5
692,576,3.0
145,901,1.0
22,1055,3.0
268,757,3.0
104,2889,2.0
200,1618,4.0
595,2726,3.0
604,6,2.5
37,854,5.0
36,1924,2.0
72,678,5.0
805,1112,2.5
167,2450,2.5
35,1288,3.0
361,2230,2.0
788,1172,3.0
59,2235,4.0
94,2262,4.0
547,2682,5.0
411,2793,3.5
171,1493,2.0
595,1356,2.0
516,1923,5.0
145,882,3.0
80,544,3.0
18,881,2.5
50,1764,3.0
961,51,3.0
608,401,5.0
490,2386,2.5
106,2261,3.5
958,414,5.0
334,2941,3.0
506,958,1.0
159,1275,3.0
595,2626,3.0
284,1996,2.5
864,627,3.0
438,893,3.0
36,2765,3.0
26,2065,5.0
595,1535,3.0
66,580,5.0
227,2296,3.5
11,2993,5.0
10,88,4.0
104,1321,2.0
76,810,2.0
80,1871,4.0
11,1313,2.0
792,206,2.5
426,1431,0.5
171,1238,2.0
984,432,4.0
805,2425,4.0
122,1742,1.5
805,1019,3.0
595,2433,3.0
595,1485,2.5
811,64,2.0
82,2303,3.0
750,419,2.5
208,503,4.0
37,1302,5.0
930,2392,4.5
493,1156,5.0
765,1771,3.5
238,1697,4.0
332,2797,2.0
208,194,3.0
80,629,3.0
595,2330,3.5
387,2458,3.0
595,1843,3.0
106,2243,1.0
891,539,3.5
7,912,2.0
864,227,3.0
763,201,3.5
389,589,4.0
374,2789,5.0
7,312,5.0
925,682,4.0
595,2880,3.0
714,1637,4.0
451,2154,3.5
10,2430,3.5
864,496,3.0
533,2302,4.5
903,700,3.0
864,789,3.0
595,2521,3.0
7,1511,5.0
302,1470,4.0
119,2823,3.0
765,289,2.0
286,2482,4.5
953,324,2.0
811,276,3.0
195,1576,3.5
987,762,4.0
873,251,3.5
595,1039,3.5
424,2556,3.5
746,2209,4.0
372,2818,1.0
647,1544,0.5
423,2920,4.5
57,42,5.0
602,1675,3.0
903,179,3.0
900,2480,5.0
578,1884,4.0
308,809,4.5
509,2918,4.0
411,2042,3.5
864,279,4.0
46,2810,0.5
91,808,3.0
604,114,2.5
955,546,2.5
596,2295,4.0
36,2994,3.5
876,60,4.0
922,229,1.5
579,2477,3.5
76,839,2.0
9,1505,5.0
711,1229,0.5
419,2903,1.5
750,1182,4.0
740,158,3.0
614,1934,4.0
766,2213,3.0
413,1042,3.0
750,2508,3.0
529,185,3.0
76,1721,4.0
609,2647,2.0
167,626,4.0
94,1003,2.0
247,1971,3.5
226,2974,2.5
101,2892,3.0
851,2594,3.0
811,2461,3.0
595,126,3.0
90,1314,3.0
567,2593,5.0
36,1155,3.0
13,2447,4.0
1006,58,1.0
10,2145,2.5
864,2620,1.5
398,5,2.5
658,393,4.0
408,871,1.0
276,2967,1.0
786,2169,3.5
226,1559,4.0
226,1437,4.5
954,73,4.5
11,1216,3.0
392,1517,3.0
864,775,3.0
539,136,3.0
972,1259,3.0
933,1594,2.0
244,520,3.0
928,1460,3.0
265,1740,1.0
389,2700,4.0
37,2868,4.0
911,272,3.0
197,1623,3.0
14,2534,4.5
595,91,3.0
226,1719,3.0
804,715,3.5
483,902,4.0
91,935,3.0
970,67,4.0
548,1910,1.0
226,1587,3.5
13,435,1.0
355,1251,3.5
394,817,1.0
286,1047,3.0
922,264,3.0
533,2812,4.0
859,2324,3.0
76,1049,4.0
104,2141,1.0
595,1813,3.0
208,617,4.0
389,180,3.5
595,2259,3.5
796,2794,0.5
11,2421,2.0
503,1966,5.0
360,2381,3.0
3,659,4.0
73,1297,4.0
22,1316,5.0
442,2804,3.0
280,1147,3.0
14,1397,5.0
80,1276,3.0
811,44,1.5
595,2589,3.5
92,1330,2.0
389,1336,3.5
377,2064,4.0
41,2288,5.0
595,1048,2.0
35,2305,3.0
680,1688,3.0
886,2558,3.5
571,562,1.0
628,487,1.0
320,1866,4.0
1039,334,4.0
595,1072,3.0
90,2914,4.0
314,2734,3.0
864,423,3.0
173,1231,4.5
171,1899,2.5
534,1409,3.0
748,2762,0.5
341,2540,4.5
595,174,3.0
504,1455,5.0
595,2525,3.0
278,1995,3.5
180,2584,4.0
719,223,5.0
967,2321,4.5
134,640,3.0
663,518,2.5
435,2181,4.5
197,1527,3.0
189,2984,5.0
106,1849,3.0
907,345,4.5
864,376,2.0
1008,788,3.5
536,1160,5.0
189,812,3.0
226,2814,3.5
22,995,2.0
245,932,3.0
76,1794,3.0
1059,226,5.0
11,244,4.0
989,383,4.5
707,373,2.5
297,1975,3.0
71,2921,3.5
87,1621,4.0
864,693,3.5
137,806,5.0
971,269,3.0
7,1667,2.0
