movieId,title
4481,Manon of the Spring
96683,Lewis Black: In God We Rust
165027,Light Gradient
168228,Some Call It Loving
2114,Final Fantasy: The Spirits Within
70423,CrissCross
1734,The Mummy Returns
2160,Voyage to the Bottom of the Sea
957,Spaceballs
3077,Son of Frankenstein
1874,Goodbye Bafana
55253,The Machine
127445,Rain
96935,The Naked Maja
32617,Bite the Bullet
45512,Pocket Money
7278,Meet the Spartans
670,Oldboy
39231,Man's Favorite Sport?
99758,Swerve
5654,War and Peace
111460,"Elmer, The Great"
582,The Lives of Others
82667,Five Bloody Graves
84283,I Am Not a Hipster
31647,A Nymphoid Barbarian in Dinosaur Hell
7913,Rang De Basanti
787,Mr. & Mrs. Smith
5879,In the Realm of the Senses
116853,The Bling Ring
133137,Dead Creatures
8845,Under Siege
66,Absolute Power
27834,CQ
36931,On the Edge
137315,Every Blessed Day
1593,Night at the Museum
142507,Exit
7096,Merlin
2923,B. Monkey
1365,Monster's Ball
563,Starship Troopers
465,Junior Size 36
69559,Dead Times
46595,The Great Ecstasy of Woodcarver Steiner
138022,Blood in the Face
26686,California Suite
41025,Gargoyles
705,All About Eve
26873,To The Stars By Hard Ways
61991,Impudent Girl
27176,"The Prize Winner of Defiance, Ohio"
91795,Neo Ned
56167,The Golden Coach
3592,One Million B.C.
142064,"It's A Bird, It's A Plane, It's Superman!"
135362,The chosen
31340,The New Protocol
26116,The Mechanik
8741,The Thin Red Line
1248,Hannibal Rising
47559,The First Grader
45186,Big Bad Mama
105254,The Touch
26172,Messenger of Death
141010,And the Crows Will Dig Your Grave
26372,Shame
383,Mala Noche
169090,På palmblad och rosor
118716,The Day Mars Invaded Earth
57276,Pina
976,Sweet Smell of Success
1573,Die Hard 2
244,King Kong
84114,"Namu, the Killer Whale"
549,Basquiat
60046,Il vigile
108501,Parole Violators
73515,Mesmerized
3682,54
704,A Hard Day's Night
27092,Burnt Money
2325,Leningrad
163392,The War Between Men and Women
8905,Three Monkeys
27376,Muscle Beach Party
42783,Kissin' Cousins
3603,Black Sheep
32389,Logorama
50076,Confessions from a Holiday Camp
108316,The Alarmist
45726,Julie
79927,The Pope Must Die
2166,The Revengers' Comedies
5559,Bee Movie
31909,Invaders from Mars
99600,"Good Men, Good Women"
2082,Halloween
116746,Parisian Love
1551,Flatliners
160874,The Third Reich: The Rise & Fall
118236,The Great Manhunt
387,Das Boot
131880,Stonewall Uprising
980,The Ox-Bow Incident
147843,If Winter Comes
110548,Deadly Surveillance
40815,On Guard
71203,Agenda Grinding America Down
1735,The Mummy: Tomb of the Dragon Emperor
58937,Wittgenstein
58718,Siren
84730,"Csocsó, avagy éljen május elseje!"
1831,The Next Best Thing
27074,Oklahoma!
33624,Double zéro
2348,Holy Matrimony
159389,TalhotBlond
78,Blade Runner
110790,"Murder, He Says"
150056,Jesus liebt mich
134427,Downstairs
2103,Solaris
120268,Johanna d'Arc of Mongolia
96700,Birth of the Blues
790,The Fog
86664,Crazed Fruit
2692,The Red Elvis
2588,Chaotic Ana
4728,The Gendarme in New York
8267,The Pope's Toilet
1825,Over the Top
33801,Beyond the Door
48458,The Secret Glory
51617,This Happy Breed
6071,Kiss of Death
6524,Life Stinks
7392,"Ilsa, Harem Keeper of the Oil Sheiks"
37744,Rocketship X-M
77680,El robobo de la jojoya
31598,Q & A
316,Grill Point
1687,Escape from the Planet of the Apes
772,Home Alone 2: Lost in New York
1993,Golden Door
1975,The Grudge 2
53883,Anjathe
56801,Judex
78174,Van Gogh: Brush with Genius
58207,If Tomorrow Comes
872,Singin' in the Rain
169782,The Making of a Lady
4887,Takva: A Man's Fear of God
84479,The Invader
26388,Buried
154339,Falling Cat
3003,The Lost World
132936,Wheelmen
5722,Beyond the Valley of the Dolls
27450,Chicago Joe and the Showgirl
8834,Conspiracy Theory
4547,Panic Room
82529,Combat Girls
948,Halloween
290,Barton Fink
8669,Charlie Bartlett
44864,The Magic Flute
19,Metropolis
1579,Apocalypto
3563,I Now Pronounce You Chuck & Larry
80844,The Other Side of Midnight
159121,Paulette
82567,Sujata
31162,Black Lightning
503,Poseidon
153820,The Girl from Nowhere
81111,Born to Be Bad
72720,Hot Wheels Acceleracers: Ignition
108003,Call Me Bwana
51935,House of Boys
72852,Hadewijch
100042,Dumb and Dumber To
4836,Layer Cake
140443,The Girl
5137,Sky Captain and the World of Tomorrow
1970,The Grudge
33762,Band of the Hand
41518,Guzaarish
4641,Read It and Weep
32139,Soccer Dog: The Movie
167364,Turf
25787,One Girl's Confession
168300,Jubilation Street
2069,The Whole Nine Yards
31770,"Hello, Frisco, Hello"
1922,Irina Palm
85330,Out At The Wedding
132144,The Battle of Chile - Part I
47980,Jesus Christ Superstar
54229,Cold Trail
861,Total Recall
7840,"10,000 BC"
8932,Salt of This Sea
120122,Vesna Goes Fast
4369,Just a Question of Love
25950,Mysterious Island
2993,One on Top of the Other
98085,Operation Kid Brother
48522,The Periwig-Maker
46430,Jodi No.1
86576,Paap
2459,An Elephant Can Be Extremely Deceptive
27018,Australian Rules
2200,Jacob the Liar
136698,Underground: The Julian Assange Story
159153,Running from Crazy
4614,The Sum of All Fears
71189,"Where Angels Go, Trouble Follows"
47962,Dirkie - Lost in the Desert
4643,The Guardian
143747,"$1,000 on the Black"
46409,MP3: Mera Pehla Pehla Pyaar
26009,Scandal Sheet
3293,Pirates of Silicon Valley
1024,Heavenly Creatures
3050,Doctor Dolittle
757,Murder Most Foul
671,Harry Potter and the Philosopher's Stone
166798,Pathetic Fallacy
1884,The Ewok Adventure
34528,The Human Condition II: Road to Eternity
4952,Pillow Talk
5473,De Dominee
27721,In Bar
89056,Double Game
7461,Vantage Point
1936,River of No Return
31694,Trouble in Mind
