,movie,original_title
13374,1,10 Things I Hate About You
18479,2,12 Angry Men
11218,3,1408
6775,4,15 Minutes
6653,5,16 Blocks
15304,6,"20,000 Leagues Under the Sea"
14180,7,2001: A Space Odyssey
13778,8,2046
12078,9,21 Grams
15542,10,25th Hour
14496,11,28 Days Later
12851,12,28 Weeks Later
4354,13,300
18135,14,"4 luni, 3 săptămîni și 2 zile"
12352,15,40 Days and 40 Nights
18357,16,42nd Street
1709,17,4: Rise of the Silver Surfer
13844,18,5 Days of War
3325,19,50 First Dates
13505,20,54
6811,21,8 Mile
14546,22,8 femmes
9240,23,88 Minutes
3187,24,A Beautiful Mind
9975,25,A Bridge Too Far
16079,26,A Christmas Story
12142,27,A Dangerous Method
8751,28,A Few Good Men
18339,29,A Hard Day's Night
8807,30,A History of Violence
13031,31,A Mighty Heart
8203,32,A Nightmare on Elm Street
12145,33,A Scanner Darkly
16912,34,A Streetcar Named Desire
7103,35,A Time to Kill
9108,36,A View to a Kill
9041,37,About Schmidt
9832,38,About a Boy
5576,39,Absolute Power
6618,40,Across the Universe
12245,41,Adaptation.
15972,42,Airplane!
727,43,Alexander
14347,44,Alien
12340,45,Aliens
7488,46,Aliens vs Predator: Requiem
8793,47,Alive
5193,48,All the King's Men
4600,49,Almost Famous
6758,50,Along Came Polly
9418,51,Along Came a Spider
4847,52,Alvin and the Chipmunks
12275,53,Amadeus
12564,54,American Beauty
18184,55,American Graffiti
14272,56,American History X
13671,57,American Pie
8923,58,American Pie 2
14536,59,American Psycho
16813,60,American Splendor
4903,61,American Wedding
16821,62,Amores perros
9285,63,An Unfinished Life
10564,64,Anchorman: The Legend of Ron Burgundy
15838,65,Annie Hall
4496,66,Antz
8809,67,Apocalypse Now
4098,68,Apollo 13
11519,69,Arlington Road
969,70,Armageddon
14044,71,Army of Darkness
5325,72,As Good as It Gets
1927,73,Astérix aux Jeux Olympiques
9127,74,Atonement
4193,75,Austin Powers in Goldmember
12272,76,Austin Powers: International Man of Mystery
11769,77,Babel
12219,78,Back to the Future
6951,79,Back to the Future Part II
7118,80,Back to the Future Part III
1364,81,Bad Boys II
8714,82,Bandidas
14018,83,Barry Lyndon
4069,84,Basic Instinct 2
16379,85,Basquiat
17460,86,Batman
1587,87,Batman & Robin
775,88,Batman Begins
2268,89,Batman Forever
2943,90,Batman Returns
13718,91,Beavis and Butt-Head Do America
